date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2025-05-15,IRE,Clonmel (IRE),5:10,Clonmel Racecourse Supporters Club Claiming Hurdle,Hurdle,,,,5yo+,,2m3½f,19.5f,3947,Good,10,10,1,,0,0,Voice Of Reason (IRE),5,G,139,,4:48.00,288.00,11.00,Paddy Cleary,Gordon Elliott,€5900,87,–,Churchill (IRE),Hurricane Emma (USA),Mr Greeley,Cullentra House Stable Staff Syndicate,Prominent - led after 1st - headed before 5th - led again 3 out - shaken up last - comfortably
2025-05-15,IRE,Clonmel (IRE),5:10,Clonmel Racecourse Supporters Club Claiming Hurdle,Hurdle,,,,5yo+,,2m3½f,19.5f,3947,Good,10,2,2,,4.75,4.75,Takarengo (IRE),9,G,159,p,4:48.95,288.95,9.00,Mr C Mullins,Thomas Mullins,€1900,106,–,Battle Of Marengo (IRE),Takaliyda (IRE),Azamour,Mrs Helen Mullins,Midfield - slow jump 3rd - not fluent 4 out - headway 2 out - no chance with winner but went second run-in
2025-05-15,IRE,Clonmel (IRE),5:10,Clonmel Racecourse Supporters Club Claiming Hurdle,Hurdle,,,,5yo+,,2m3½f,19.5f,3947,Good,10,6,3,,5,0.3,Mephisto (IRE),8,G,154,v,4:49.00,289.00,67.00,Shane Fitzgerald,Gerard Keane,€900,93,–,Kendargent (FR),Save Me The Waltz (FR),Halling,Restricted Movement Syndicate,Towards rear - slightly hampered 5th - headway from 3 out - left in second 2 out - no chance with winner approaching last - lost second run-in
2025-05-15,IRE,Clonmel (IRE),5:10,Clonmel Racecourse Supporters Club Claiming Hurdle,Hurdle,,,,5yo+,,2m3½f,19.5f,3947,Good,10,1,4,,13.5,8.5,Thank You Blue (GB),8,G,168,,4:50.70,290.70,2.50,Darragh OKeeffe,Jennie Candlish,€400,112,–,Blue Bresil (FR),Tara Potter GB,Kayf Tara,Alan Baxter,Led - headed and raced in second after 1st - prominent after 4th - mistake 6th - went second after 3 out - bad mistake and lost ground 2 out - weakened last
2025-05-15,IRE,Clonmel (IRE),5:10,Clonmel Racecourse Supporters Club Claiming Hurdle,Hurdle,,,,5yo+,,2m3½f,19.5f,3947,Good,10,9,5,,13.75,0.2,Rockview Roman (IRE),9,G,139,p,4:50.79,290.79,26.00,Dylan Kidd,John C McConnell,€200,94,–,Holy Roman Emperor (IRE),Veneration GB,Dalakhani,Rockview Stables,Midfield - headway before 2 out - soon outpaced and no impression
2025-05-15,IRE,Clonmel (IRE),5:10,Clonmel Racecourse Supporters Club Claiming Hurdle,Hurdle,,,,5yo+,,2m3½f,19.5f,3947,Good,10,8,6,,16.5,2.75,Dinamine (IRE),7,G,146,,4:51.30,291.30,41.00,Jordan Gainford,Michael Mulvany,€100,–,–,Red Jazz (USA),Pardoned (IRE),Mujadil,Sean F Finnegan,Took keen hold - in touch with leaders - went second after 4th - hung right but led before 5th - headed 3 out - weakened 2 out
2025-05-15,IRE,Clonmel (IRE),5:10,Clonmel Racecourse Supporters Club Claiming Hurdle,Hurdle,,,,5yo+,,2m3½f,19.5f,3947,Good,10,5,7,,33.5,17,Falcon Park (IRE),9,G,151,p,4:54.70,294.70,15.00,Paddy Hanlon,John Joseph Hanlon,,102,–,Arcadio (GER),Lisdaleen (IRE),Saddlers Hall,Ms Rachel Oneill,Towards rear - weakened before 2 out
2025-05-15,IRE,Clonmel (IRE),5:10,Clonmel Racecourse Supporters Club Claiming Hurdle,Hurdle,,,,5yo+,,2m3½f,19.5f,3947,Good,10,3,F,,-,-,Circus Act (IRE),6,M,155,b,-,-,8.50,Benjamin P Kennedy,J A Nash,,97,–,Buratino (IRE),Daring Damsel (IRE),Van Nistelrooy,J A Nash,Midfield - fell 5th
2025-05-15,IRE,Clonmel (IRE),5:10,Clonmel Racecourse Supporters Club Claiming Hurdle,Hurdle,,,,5yo+,,2m3½f,19.5f,3947,Good,10,4,PU,,-,-,Cafe Con Leche (IRE),9,G,151,,-,-,5.50,Mr A D Bustin,C Byrnes,,120,–,Camacho (GB),Cafe Lassere (USA),Giants Causeway,Anthony David Bustin Paul Mc Kernan Aisling Mccarthy,Slowly into stride - always behind - pulled up before 2 out
2025-05-15,IRE,Clonmel (IRE),5:10,Clonmel Racecourse Supporters Club Claiming Hurdle,Hurdle,,,,5yo+,,2m3½f,19.5f,3947,Good,10,7,PU,,-,-,The Mass Path (IRE),8,G,148,v,-,-,6.50,Philip Byrnes,C Byrnes,,91,–,Califet (FR),Mugs In Milan (IRE),Milan,Cathal Byrnes,Always behind - hampered by faller 5th - not fluent 4 out - soon pulled up
