date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2025-05-12,GB,Southwell,2:00,Racing Welfare Mental Health Week Handicap Chase (GBB Race),Chase,Class 4,,0-120,5yo+,,3m½f,24.5f,4883,Good,4,5,1,,0,0,Always Busy (IRE),7,G,156,,6:45.15,405.15,5.50,Jack Tudor,Christian Williams,4700.09,103,–,Westerner (GB),Davids Jewel (IRE),Kings Theatre,George Moore,Held up in last - outpaced 4 out - pushed along and rallied before 3 out - switched right and led narrowly 2 out - not fluent last - kept on well run-in - went clear final 110yds(op 4/1)
2025-05-12,GB,Southwell,2:00,Racing Welfare Mental Health Week Handicap Chase (GBB Race),Chase,Class 4,,0-120,5yo+,,3m½f,24.5f,4883,Good,4,1,2,,7,7,High Game Royal (FR),8,G,163,p,6:46.55,406.55,2.20,Callum Pritchard,Philip Hobbs & Johnson White,2162.70,115,–,Martaline (GB),Jouable I (FR),Garde Royale,Mrs L R Lovell,Raced in third - not fluent 12th - hit 15th - led 3 out - headed 2 out - outpaced approaching last - weakened run-in(op 11/8)
2025-05-12,GB,Southwell,2:00,Racing Welfare Mental Health Week Handicap Chase (GBB Race),Chase,Class 4,,0-120,5yo+,,3m½f,24.5f,4883,Good,4,4,3,,14,7,How And Ever (IRE),7,G,156,tp,6:47.95,407.95,2.38,Gavin Sheehan,Oliver Signy,1081.35,103,–,Sageburg (IRE),Whowhatwherewhen (IRE),Gamut,The Waterberry Partnership,Led - headed but pressed leader 15th - lost second 2 out - weakened approaching last(tchd 5/4 and tchd 6/4)
2025-05-12,GB,Southwell,2:00,Racing Welfare Mental Health Week Handicap Chase (GBB Race),Chase,Class 4,,0-120,5yo+,,3m½f,24.5f,4883,Good,4,3,4,,14.75,.75,Swapped (FR),8,G,155,,6:48.10,408.10,26.00,Philip Armson,Michael Chapman,541.12,105,–,Sinndar (IRE),La Bezizais (FR),Astarabad,Exors Of The Late Milson Robinson,Pressed leader - led 15th - headed 3 out - dropped to rear before 2 out - weakened approaching last(op 22/1 tchd 28/1)
2025-05-12,GB,Southwell,5:15,Play At The Races Stableduel Handicap Hurdle,Hurdle,Class 4,,0-120,4yo+,,3m½f,24.5f,4883,Good,3,2,1,,0,0,Hourvari (FR),8,G,168,,6:29.91,389.91,1.62,Sean Bowen,Olly Murphy,4534.14,120,–,My Risk (FR),Ty Perrine (FR),Assessor,Mrs Diana L Whateley,Raced in second - pressed leader with one circuit to go - led 7th - went clear going easily after 2 out (usual 3 out) - eased towards finish - canter(tchd 8/15)
2025-05-12,GB,Southwell,5:15,Play At The Races Stableduel Handicap Hurdle,Hurdle,Class 4,,0-120,4yo+,,3m½f,24.5f,4883,Good,3,4,2,,24,24,Storm Nelson (IRE),12,G,146,b,6:34.71,394.71,26.00,William Maggs,Olly Williams,2338.87,103,–,Gold Well (GB),Dabiyra (IRE),Linamix,Danny Ablott,Led - headed 7th - outpaced after 2 out (usual 3 out) - weakened last(op 33/1 tchd 22/1)
2025-05-12,GB,Southwell,5:15,Play At The Races Stableduel Handicap Hurdle,Hurdle,Class 4,,0-120,4yo+,,3m½f,24.5f,4883,Good,3,3,PU,,-,-,Coconut Twist (IRE),7,G,154,b,-,-,2.50,Mr Robbie David,Daisy Hitchins,,113,–,Shantou (USA),Presenting Chaos (IRE),Presenting,Troika Racing,Held up in last - niggled along briefly 5th - outpaced and reminders with one circuit to go - lost touch 3 out (usual 4 out) - tailed off and tired when pulled up after 2 out (usual 3 out)(op 11/8)
2025-05-12,GB,Southwell,4:40,Join Southwell Golf Club Handicap Hurdle,Hurdle,Class 4,,0-110,4yo+,,2m4½f,20.5f,4104,Good,6,2,1,,0,0,Matchless (IRE),7,G,167,p,5:18.35,318.35,6.00,Sean Quinlan,Jennie Candlish,4124.69,109,–,Galileo (IRE),Bye Bye Birdie (IRE),Oasis Dream,Mrs Ros Marriott,Prominent - pushed along and outpaced home turn - pressed leader 2 out - led when mistake last - ridden and kept on well run-in(op 11/2 tchd 6/1)
2025-05-12,GB,Southwell,4:40,Join Southwell Golf Club Handicap Hurdle,Hurdle,Class 4,,0-110,4yo+,,2m4½f,20.5f,4104,Good,6,4,2,,1.5,1.5,Lune De La Mer (IRE),8,G,159,p,5:18.65,318.65,2.62,Henry Brooke,Oliver Greenall & Josh Guerriero,1929.42,101,–,Sea Moon (GB),Printing Polly (IRE),Blueprint,5 Oclock Somewhere Partnership,Prominent - led after 3 out - going easily home turn - headed approaching last - kept on(op 6/4 tchd 11/8)
2025-05-12,GB,Southwell,4:40,Join Southwell Golf Club Handicap Hurdle,Hurdle,Class 4,,0-110,4yo+,,2m4½f,20.5f,4104,Good,6,6,3,,28.5,27,Presenting Pete (IRE),8,G,156,,5:24.05,324.05,13.00,Kevin Brogan,John Mackie,993.87,98,–,Presenting (GB),Ciandarragh (IRE),Kings Theatre,A Pot To Pete In Syndicate,Towards rear - in touch with leaders 6th - outpaced when left in third 2 out - no impression approaching last - no match for first two(op 18/1 tchd 20/1)
2025-05-12,GB,Southwell,4:40,Join Southwell Golf Club Handicap Hurdle,Hurdle,Class 4,,0-110,4yo+,,2m4½f,20.5f,4104,Good,6,3,4,,42.5,14,Final Edgar (IRE),7,G,160,p,5:26.85,326.85,11.00,Jamie Hamilton,Mark Walford,526.48,102,–,Imperial Monarch (IRE),Vita Nuova (IRE),Flemensfirth,Ursa Major Racing Ltd Partner,Led - headed after 3 out - lost position home turn - weakened before 2 out - tailed off(op 8/1)
2025-05-12,GB,Southwell,4:40,Join Southwell Golf Club Handicap Hurdle,Hurdle,Class 4,,0-110,4yo+,,2m4½f,20.5f,4104,Good,6,1,F,,-,-,Strictly Tango (IRE),6,G,169,,-,-,5.00,Sam Twiston-Davies,Dr Richard Newland & Jamie Insole,,111,–,Ocovango (GB),Noble Vision (IRE),Teofilo,Foxtrot Racing Strictly Tango,Held up in rear - in touch with leaders when hit 9th - outpaced after 3 out - rallied home turn - keeping on when fell heavily 2 out(op 10/3 tchd 16/5 and tchd 9/2)
2025-05-12,GB,Southwell,4:40,Join Southwell Golf Club Handicap Hurdle,Hurdle,Class 4,,0-110,4yo+,,2m4½f,20.5f,4104,Good,6,5,PU,,-,-,Jumping Jupiter (IRE),7,G,153,,-,-,5.00,Tom Midgley,Mark Walford,,98,–,Sageburg (IRE),Mazaryne (FR),Protektor,Adam Tucker,In touch with leaders - dropped to rear 6th - not fluent and reminders 7th - lost touch 3 out - pulled up before 2 out(op 9/2)
2025-05-12,GB,Southwell,4:05,Weekend Winners On Sky Sports Racing Maiden Hurdle (ARC Summer Novices Brush Hurdle Qual) (GBB),Hurdle,Class 4,,,4yo+,,2m,16f,3184,Good,6,4,1,,0,0,R S Ambush (IRE),6,G,158,p,4:4.65,244.65,2.38,Sean Bowen,Dr Richard Newland & Jamie Insole,4193.42,104,–,Ol Man River (IRE),Archdale Ambush (IRE),Heron Island,Michael P Tudor,Prominent - outpaced after 3 out - rallied before 2 out - pushed along to lead when good jump last - ridden and went clear run-in - comfortably(op 6/5)
2025-05-12,GB,Southwell,4:05,Weekend Winners On Sky Sports Racing Maiden Hurdle (ARC Summer Novices Brush Hurdle Qual) (GBB),Hurdle,Class 4,,,4yo+,,2m,16f,3184,Good,6,6,2,,5.5,5.5,Wind Your Neck In (IRE),6,G,158,t,4:5.75,245.75,1.67,Jonathan England,Sam England,1931.93,–,–,Decorated Knight (GB),Samite (USA),Distorted Humor,Wyniers,Jumped right on occasions - led - bad mistake 2nd - faced challenge after 3 out - headed approaching last - kept on run-in - went second again towards finish - did well in the circumstances(op 5/6)
2025-05-12,GB,Southwell,4:05,Weekend Winners On Sky Sports Racing Maiden Hurdle (ARC Summer Novices Brush Hurdle Qual) (GBB),Hurdle,Class 4,,,4yo+,,2m,16f,3184,Good,6,2,3,,6.5,1,Hijo De La Luna (GER),5,G,158,,4:5.95,245.95,21.00,Bruce Lynn,Simon West,965.58,–,–,Sea The Moon (GER),Hey Little Gorl (GER),Sternkoenig,Richard C Pearson,Took keen hold - towards rear - headway 6th - pressed leader when awkward jump 2 out - outpaced last - lost second towards finish(op 12/1 tchd 22/1)
2025-05-12,GB,Southwell,4:05,Weekend Winners On Sky Sports Racing Maiden Hurdle (ARC Summer Novices Brush Hurdle Qual) (GBB),Hurdle,Class 4,,,4yo+,,2m,16f,3184,Good,6,3,4,,29.5,23,House Of Habsburg (GB),5,G,158,,4:10.55,250.55,41.00,Jack Tudor,Christian Williams,483.56,–,–,Order Of St George (IRE),Swincombe Flame GB,Exit To Nowhere,Whites Property Limited,In touch with leaders - outpaced after 3 out - lost touch 2 out(op 28/1 tchd 25/1)
2025-05-12,GB,Southwell,4:05,Weekend Winners On Sky Sports Racing Maiden Hurdle (ARC Summer Novices Brush Hurdle Qual) (GBB),Hurdle,Class 4,,,4yo+,,2m,16f,3184,Good,6,7,5,,84.5,55,Farhh Echo (IRE),4,G,152,,4:21.55,261.55,201.00,Liam Harrison,D J Jeffreys,,–,–,Farhh (GB),Dulcet (IRE),Halling,D J Jeffreys,Pressed leader - lost ground quickly 5th - weakened 3 out - tailed off(op 100/1 tchd 250/1)
2025-05-12,GB,Southwell,4:05,Weekend Winners On Sky Sports Racing Maiden Hurdle (ARC Summer Novices Brush Hurdle Qual) (GBB),Hurdle,Class 4,,,4yo+,,2m,16f,3184,Good,6,5,PU,,-,-,Straitouttacompton (GB),9,G,158,,-,-,126.00,James Best,Michael Chapman,,64,–,Compton Place (GB),Red Mischief (IRE),Red Clubs,Mrs M Chapman,Took keen hold - held up in rear - outpaced 5th - lost touch 3 out - pulled up before 2 out(op 66/1 tchd 150/1)
2025-05-12,GB,Southwell,2:30,Golf And Gallop Novices Handicap Chase,Chase,Class 5,,0-100,5yo+,,3m½f,24.5f,4883,Good,8,2,1,,0,0,No More No (IRE),6,G,154,tv,6:35.65,395.65,5.50,David Bass,Lawney Hill,3434.56,86,–,Alkaadhem (GB),Dranamol (IRE),Beneficial,Andy Weller,In touch with leaders - prominent 5th - led 12th - pushed along briefly 4 out - went clear going easily before 3 out - went further clear 2 out - ridden approaching last - easily(op 11/2)
2025-05-12,GB,Southwell,2:30,Golf And Gallop Novices Handicap Chase,Chase,Class 5,,0-100,5yo+,,3m½f,24.5f,4883,Good,8,6,2,,31,31,Whynotnowroy (IRE),7,G,145,ht,6:41.85,401.85,7.50,James Best,Neil Mulholland,1681.19,77,–,Notnowcato (GB),Midnight Lira GB,Midnight Legend,Brian Derrick,In touch with leaders - smooth headway 14th - lost ground quickly before 3 out - weakened 2 out(op 15/2 tchd 6/1 and tchd 8/1)
2025-05-12,GB,Southwell,2:30,Golf And Gallop Novices Handicap Chase,Chase,Class 5,,0-100,5yo+,,3m½f,24.5f,4883,Good,8,4,3,,52,21,Small Town Hero (IRE),5,G,147,t,6:46.05,406.05,2.88,Jack Tudor,Christian Williams,933.98,79,–,Jet Away (GB),Moray Firth (UAE),Halling,Phil Cunningham,Towards rear - in touch with leaders 10th - brief headway 4 out - outpaced 3 out - weakening when mistake 2 out - tailed off(op 9/4 tchd 7/4)
2025-05-12,GB,Southwell,2:30,Golf And Gallop Novices Handicap Chase,Chase,Class 5,,0-100,5yo+,,3m½f,24.5f,4883,Good,8,5,PU,,-,-,The Whistle Blower (IRE),10,G,139,tv,-,-,10.00,Mr Paddy Barlow,Jonathan Barlow,,78,–,Flemensfirth (USA),Terre Haute (IRE),Oscar,J B Wallwin,Jumped right throughout - led - headed 12th - lost position 15th - weakened 4 out - pulled up before 3 out(op 7/1 tchd 13/2 and tchd 17/2)
2025-05-12,GB,Southwell,2:30,Golf And Gallop Novices Handicap Chase,Chase,Class 5,,0-100,5yo+,,3m½f,24.5f,4883,Good,8,8,PU,,-,-,Deadly Missile (IRE),8,G,142,,-,-,15.00,Ben Poste,Rosemary Gasson,,74,–,Presenting (GB),Daisys Sister GB,Flemensfirth,Mrs Rosemary Gasson,In touch with leaders - dropped to rear and cajoled along 8th - struggling with one circuit to go - mistake 13th - pulled up before 4 out(op 18/1 tchd 22/1)
2025-05-12,GB,Southwell,2:30,Golf And Gallop Novices Handicap Chase,Chase,Class 5,,0-100,5yo+,,3m½f,24.5f,4883,Good,8,1,PU,,-,-,Ballyvaughan Bay (IRE),8,G,161,,-,-,5.00,Mr Toby McCain-Mitchell,D J Jeffreys,,100,–,Fame And Glory (GB),Roughan Daisy (IRE),Kalanisi,Mark E Smith,Prominent - lost position 13th - weakened and 4 out - lost touch before 4 out - pulled up before 3 out(tchd 9/2)
