date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2025-05-13,GB,Worcester,2:00,FBC Manby Bowdler Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,2m4f,20f,4023,Good,10,7,1,,0,0,Okavango Delta (IRE),9,G,164,p,5:8.06,308.06,9.00,Ryan Mania,Paul Robson,4700.09,106,–,Ocovango (GB),Court My Eye GB,Elmaamul,One For The Road Flower,Midfield - headway 5 out - went third before 4 out - challenging when left in lead and pushed along 2 out - not fluent last - ridden and idled run-in - always doing enough(tchd 7/1)
2025-05-13,GB,Worcester,2:00,FBC Manby Bowdler Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,2m4f,20f,4023,Good,10,5,2,,2,2,Full Monty (IRE),7,G,165,,5:8.46,308.46,2.88,Jonathan Burke,Fergal OBrien,2162.70,107,–,Westerner (GB),Get Me Home (IRE),Alderbrook,Malcolm C Denmark,Held up in rear - headway 5 out - went second approaching last - hung left and no impression run-in(op 11/4 tchd 7/4)
2025-05-13,GB,Worcester,2:00,FBC Manby Bowdler Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,2m4f,20f,4023,Good,10,6,3,,10,8,Gods Own Getaway (IRE),7,G,165,p,5:10.06,310.06,4.33,Harry Skelton,Dan Skelton,1081.35,107,–,Getaway (GER),Yorkshire Girl (IRE),Anshan,Srw Partnership,Held up in rear - headway after 5 out - not fluent 4 out - 4 lengths down when hampered by faller then switched left 2 out - went third last - weakened run-in(op 3/1 tchd 7/2)
2025-05-13,GB,Worcester,2:00,FBC Manby Bowdler Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,2m4f,20f,4023,Good,10,9,4,,24,14,Scene One (IRE),9,G,158,b,5:12.86,312.86,12.00,Tom Cannon,Lucy Wadham,541.12,100,–,Curtain Time (IRE),Isserkelly Lady (IRE),Needle Gun,Scene One Partnership,Prominent - disputed lead after 5 out - hung left and lost position 2 out - jockey dropped whip and lost second approaching last - soon weakened(tchd 10/1 and tchd 12/1)
2025-05-13,GB,Worcester,2:00,FBC Manby Bowdler Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,2m4f,20f,4023,Good,10,3,5,,32.5,8.5,Midnight Jewel (GB),9,G,167,,5:14.56,314.56,21.00,Lilly Pinchin,Charlie Longsdon,269.67,109,–,Midnight Legend (GB),Follow The Dream GB,Double Trigger,Ms G E Morgan,Led - hit 3rd - joined 6th - mistake and lost position 5 out - weakened 4 out(op 16/1 tchd 14/1)
2025-05-13,GB,Worcester,2:00,FBC Manby Bowdler Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,2m4f,20f,4023,Good,10,1,6,,32.5,0.1,Byzantine Empire (GB),8,G,169,,5:14.58,314.58,26.00,Jack Tudor,John & Rhys Flint,,111,–,Golden Horn (GB),Mainstay GB,Elmaamul,Rhys Flint,Towards rear - weakened 3 out(op 28/1)
2025-05-13,GB,Worcester,2:00,FBC Manby Bowdler Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,2m4f,20f,4023,Good,10,8,7,,58.5,26,Marys Fortune (FR),7,M,161,tp,5:19.76,319.76,51.00,David Noonan,Tim Vaughan,,103,–,Soldier Of Fortune (IRE),Scanelle (FR),Turgeon,Tim Vaughan Racing Club   Ultimate,Prominent - joined 6th - led clearly 5 out - soon headed and weakened - jumped right 2 out(op 40/1)
2025-05-13,GB,Worcester,2:00,FBC Manby Bowdler Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,2m4f,20f,4023,Good,10,4,PU,,-,-,Winged Isle (GB),10,G,166,,-,-,23.00,James Bowen,Mickey Bowen,,108,–,Winged Love (IRE),Zaffaranni (IRE),Zaffaran,Mrs G Davies,Midfield - dropped to rear 2nd - lost touch after 5 out - pulled up 4 out(op 25/1 tchd 18/1)
2025-05-13,GB,Worcester,2:00,FBC Manby Bowdler Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,2m4f,20f,4023,Good,10,10,PU,,-,-,Uncle Arthur (GB),7,G,142,,-,-,151.00,James Best,Sarah-Jayne Davies,,84,–,Blue Bresil (FR),Mini Muck GB,Kayf Tara,Keith Stait,Took keen hold - in touch with leaders on outer - lost position and mistake 8th - lost touch after 5 out - pulled up 4 out(op 80/1)
2025-05-13,GB,Worcester,2:00,FBC Manby Bowdler Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,2m4f,20f,4023,Good,10,2,UR,,-,-,Abingworth (GB),7,G,167,,-,-,4.33,Caoilin Quinn,Gary & Josh Moore,,109,–,Kapgarde (FR),Flute Bowl GB,Black Sam Bellamy,Chris Stedman,Took keen hold - in touch with leaders - hit 6th - disputed lead after 5 out - led narrowly when bad mistake and unseated 2 out(op 5/2)
2025-05-13,GB,Worcester,2:30,PJ Nicholls KGM Korea Genuinely Made Handicap Chase (GBB Race),Chase,Class 4,,0-120,5yo+,,2m½f,16.5f,3319,Good,7,2,1,,0,0,Doyouknowwhatimean (GB),8,G,167,,4:11.25,251.25,5.00,Harry Skelton,Dan Skelton,4700.09,117,–,Martaline (GB),Knar Mardy GB,Erhaab,Robert Kirkland,In touch with leaders - headway to lead after 4th - increased tempo 4 out - clear with one other after 2 out - ridden clear run-in(tchd 9/2)
2025-05-13,GB,Worcester,2:30,PJ Nicholls KGM Korea Genuinely Made Handicap Chase (GBB Race),Chase,Class 4,,0-120,5yo+,,2m½f,16.5f,3319,Good,7,5,2,,6.5,6.5,Salamanca Bay (IRE),9,G,161,t,4:12.55,252.55,7.00,Micheal Nolan,Philip Hobbs & Johnson White,2162.70,111,–,Saint Des Saints (FR),Almada (FR),Loup Solitaire,Allan Stennett,Held up in rear - mistake 2nd - headway after 5 out - on outer after 5 out - went second 4 out - went clear with winner after 2 out - edged left and weakened run-in(op 11/2 tchd 5/1)
2025-05-13,GB,Worcester,2:30,PJ Nicholls KGM Korea Genuinely Made Handicap Chase (GBB Race),Chase,Class 4,,0-120,5yo+,,2m½f,16.5f,3319,Good,7,6,3,,10.25,3.75,Jet Of Dreams (IRE),7,G,158,t,4:13.30,253.30,4.33,James Bowen,Warren Greatrex,1081.35,108,–,Jet Away (GB),Lady J D (IRE),Gothland,The Stewkley Shindiggers Partnership,In touch with leaders - outpaced when mistake 2 out - switched right and went third run-in - no match for first two(op 3/1 tchd 7/2)
2025-05-13,GB,Worcester,2:30,PJ Nicholls KGM Korea Genuinely Made Handicap Chase (GBB Race),Chase,Class 4,,0-120,5yo+,,2m½f,16.5f,3319,Good,7,7,4,,10.25,0.1,Jolyjump (FR),6,G,152,p,4:13.32,253.32,4.33,Caoilin Quinn,Gary & Josh Moore,541.12,102,–,Kapgarde (FR),Pepite Du Mathan (FR),Turgeon,Jerry Hinds Ashley Head,Didn't always jump with fluency - in rear - some headway when hampered by faller 2 out - weakened run-in(op 7/2)
2025-05-13,GB,Worcester,2:30,PJ Nicholls KGM Korea Genuinely Made Handicap Chase (GBB Race),Chase,Class 4,,0-120,5yo+,,2m½f,16.5f,3319,Good,7,4,5,,37.25,27,Moodofthemoment (IRE),8,G,164,p,4:18.70,258.70,13.00,Stan Sheppard,Matt Sheppard,269.67,114,–,Shantou (USA),Mood Im In (GER),Saddlers Hall,Barry Hawkins,Raced in second on outer - in touch with leaders after 4th - weakened before 3 out - tailed off (vet said gelding bled from the nose)
2025-05-13,GB,Worcester,2:30,PJ Nicholls KGM Korea Genuinely Made Handicap Chase (GBB Race),Chase,Class 4,,0-120,5yo+,,2m½f,16.5f,3319,Good,7,1,6,,71.25,34,South Omo Zone (IRE),7,G,168,t,4:25.50,265.50,8.00,Kevin Brogan,Olly Murphy,,118,–,Court Cave (IRE),Starry Lady (IRE),Marju,South Omo Zone Middleham Park Racing,Towards rear throughout - weakened 3 out - tailed off (vet said gelding bled from the nose)(op 6/1)
